############################################################################################################
# SARS-CoV domain general terms
#
# A small vocabulary of concepts related to the above. 
# Produced by SciBite Limited 2020
# Distributed under GPL
# Please retain this header in any copies of this file
# Data, licence and information at https://scibite.info/cv19
#
# Format:
# Identifier <tab> Primary Name <tab> Synonyms (separated by pipe characters)
# Hash character (#) denotes a comment
#
# Please note: SciBite customers may obtain a version of this file suitable for use in TERMite, please
# contact us via the helpdesk
#
############################################################################################################
#identifier	name	syns
NCBITaxon_511430	SARS coronavirus BJ182-4	SARS coronavirus BJ182-4
NCBITaxon_511431	SARS coronavirus BJ182-8	SARS coronavirus BJ182-8
GO_0099018	restriction-modification system evasion by virus	restriction-modification system evasion by virus
NCBITaxon_511432	SARS coronavirus BJ182a	SARS coronavirus BJ182a
NCBITaxon_233044	SARS coronavirus GD01	SARS coronavirus GD01
NCBITaxon_296839	SARS coronavirus PC4-145	SARS coronavirus PC4-145
NCBITaxon_285947	SARS coronavirus civet014	SARS coronavirus civet014
GO_0046734	passive induction of host cell-mediated immune response by virus	passive viral activation of cell-mediated immune response in host | passive viral induction of cell-mediated immune response in host | passive induction of cell-mediated immune response in host by virus
NCBITaxon_285948	SARS coronavirus civet019	SARS coronavirus civet019
GO_0046733	passive induction of host humoral immune response by virus	passive viral induction of humoral immune response in host | passive induction of humoral immune response in host by virus | passive viral activation of humoral immune response in host
NCBITaxon_285945	Civet SARS CoV 007/2004	Civet SARS CoV 007/2004
GO_0046732	active induction of host immune response by virus	active viral induction of host immune response
NCBITaxon_285946	SARS coronavirus civet010	SARS coronavirus civet010
GO_0046731	passive induction of host immune response by virus	passive viral induction of host immune response | passive activation of host immune response by virus
GO_0046730	induction of host immune response by virus	activation of host immune response by virus
NCBITaxon_741997	Bat SARS coronavirus HKU3-10	Bat SARS coronavirus HKU3-10
NCBITaxon_741998	Bat SARS coronavirus HKU3-11	Bat SARS coronavirus HKU3-11
NCBITaxon_741999	Bat SARS coronavirus HKU3-12	Bat SARS coronavirus HKU3-12
GO_0046739	transport of virus in multicellular host	spread of virus within multicellular host | viral spread within multicellular host
NCBITaxon_305401	SARS coronavirus A001	SARS coronavirus A001
NCBITaxon_293321	SARS coronavirus GZ0403	SARS coronavirus GZ0403
GO_0046738	active induction of innate immune response in host by virus	active viral induction of innate immune response in host
NCBITaxon_305402	SARS coronavirus A013	SARS coronavirus A013
GO_0046737	active induction of cell-mediated immune response in host by virus	active viral induction of cell-mediated immune response in host
NCBITaxon_293320	SARS coronavirus PC4-205	SARS coronavirus PC4-205
NCBITaxon_285949	SARS coronavirus civet020	SARS coronavirus civet020
GO_0046736	active induction of humoral immune response in host by virus	active viral induction of humoral immune response in host
GO_0046735	passive induction of host innate immune response by virus	passive viral activation of innate immune response in host | passive induction of innate immune response in host by virus | passive viral induction of innate immune response in host
NCBITaxon_349344	Bat SARS CoV Rp3/2004	Bat SARS CoV Rp3/2004
NCBITaxon_385684	SARS coronavirus CS24	SARS coronavirus CS24
NCBITaxon_385683	SARS coronavirus CS21	SARS coronavirus CS21
NCBITaxon_296837	SARS coronavirus PC4-115	SARS coronavirus PC4-115
NCBITaxon_296838	SARS coronavirus PC4-137	SARS coronavirus PC4-137
NCBITaxon_385687	SARS coronavirus WF188	SARS coronavirus WF188
NCBITaxon_385686	SARS coronavirus ES260	SARS coronavirus ES260
NCBITaxon_349342	Bat SARS coronavirus Rp1	Bat SARS coronavirus Rp1
NCBITaxon_385685	SARS coronavirus ES191	SARS coronavirus ES191
NCBITaxon_349343	Bat SARS coronavirus Rp2	Bat SARS coronavirus Rp2
GO_0098026	virus tail, tube	virus tail, tube
GO_0098027	virus tail, sheath	virus tail, sheath
GO_0098024	virus tail, fiber	virus tail, fiber
GO_0098025	virus tail, baseplate	virus tail, baseplate
NCBITaxon_293319	SARS coronavirus PC4-127	SARS coronavirus PC4-127
GO_0098022	viral capsid, fiber	viral capsid, fiber
GO_0098023	virus tail, tip	virus tail, tip
GO_0098021	viral capsid, decoration	viral capsid, decoration
GO_0046745	viral capsid secondary envelopment	virus budding from ER membrane by viral capsid re-envelopment | viral budding from nuclear membrane by viral capsid re-envelopment | viral budding from Golgi membrane by viral capsid re-envelopment | viral budding from ER membrane by viral capsid re-envelopment | virus budding from outer nuclear membrane by viral capsid re-envelopment | viral budding from outer nuclear membrane during viral capsid re-envelopment | virus budding from Golgi membrane by viral capsid re-envelopment | viral budding from plasma membrane by viral capsid re-envelopment | virus budding from nuclear membrane by viral capsid re-envelopment | viral budding from inner nuclear membrane by viral capsid re-envelopment | virus budding from inner nuclear membrane by viral capsid re-envelopment | outer nuclear membrane viral budding during viral capsid re-envelopment | viral budding from outer nuclear membrane by viral capsid re-envelopment
NCBITaxon_267389	SARS coronavirus Sin3725V	SARS coronavirus Sin3725V
NCBITaxon_267388	SARS coronavirus Sin849	SARS coronavirus Sin849
NCBITaxon_267387	SARS coronavirus Sin848	SARS coronavirus Sin848
GO_0046741	transport of virus in host, tissue to tissue	viral spread within host, tissue to tissue | tissue to tissue spread of virus within host | spread of virus within host, tissue to tissue
GO_0046740	transport of virus in host, cell to cell	spread of virus within host, cell to cell | cell to cell spread of virus within host | intercellular virus transport | viral spread within host, cell to cell
NCBITaxon_267393	SARS coronavirus SinP4	SARS coronavirus SinP4
NCBITaxon_267392	SARS coronavirus SinP3	SARS coronavirus SinP3
NCBITaxon_267391	SARS coronavirus SinP2	SARS coronavirus SinP2
NCBITaxon_267390	SARS coronavirus SinP1	SARS coronavirus SinP1
NCBITaxon_267397	SARS coronavirus Sin847	SARS coronavirus Sin847
NCBITaxon_267396	SARS coronavirus Sin846	SARS coronavirus Sin846
NCBITaxon_267395	SARS coronavirus Sin845	SARS coronavirus Sin845
NCBITaxon_267394	SARS coronavirus SinP5	SARS coronavirus SinP5
GO_0098028	virus tail, shaft	virus tail, shaft
GO_0098029	icosahedral viral capsid, spike	icosahedral viral capsid, spike
NCBITaxon_511433	SARS coronavirus BJ182b	SARS coronavirus BJ182b
GO_0098037	viral DNA genome packaging, 5' extended cos packaging	viral DNA genome packaging, 5' extended cos packaging
GO_0099006	viral entry via permeabilization of endosomal membrane	viral entry via permeabilization of endosomal membrane
GO_0098035	viral DNA genome packaging via site-specific sequence recognition	viral DNA genome packaging via site-specific sequence recognition
GO_0098036	viral DNA genome packaging, 3' extended cos packaging	viral DNA genome packaging, 3' extended cos packaging
GO_0099001	viral genome ejection through host cell envelope, long flexible tail mechanism	viral long flexible tail ejection system
GO_0098033	icosahedral viral capsid, neck fiber	icosahedral viral capsid, neck fiber
GO_0099002	viral genome ejection through host cell envelope, short tail mechanism	viral short tail ejection system
GO_0098031	icosahedral viral capsid, collar	icosahedral viral capsid, collar
NCBITaxon_255194	SARS coronavirus SoD	SARS coronavirus SoD
GO_0099000	viral genome ejection through host cell envelope, contractile tail mechanism	viral contractile tail ejection system
GO_0098032	icosahedral viral capsid, collar fiber	icosahedral viral capsid, collar fiber
NCBITaxon_305416	SARS coronavirus C025	SARS coronavirus C025
GO_0046755	viral budding	viral budding
GO_0098030	icosahedral viral capsid, neck	icosahedral viral capsid, neck
NCBITaxon_305417	SARS coronavirus C028	SARS coronavirus C028
NCBITaxon_267399	SARS coronavirus Sin3408L	SARS coronavirus Sin3408L
NCBITaxon_305414	SARS coronavirus C018	SARS coronavirus C018
GO_0044696	killing by virus of host cell by post-segregational killing	killing by virus of host cell by PSK | killing by virus of host cell by toxin-antitoxin system
GO_0046754	viral exocytosis	viral exocytosis
GO_0046753	non-lytic viral release	non-lytic viral release
NCBITaxon_267398	SARS coronavirus Sin850	SARS coronavirus Sin850
NCBITaxon_305415	SARS coronavirus C019	SARS coronavirus C019
GO_0044694	pore-mediated entry of viral genome into host cell	pore-mediated penetration of viral genome into host cell | viral genome translocation | viral entry via genome injection
GO_0046752	viral capsid precursor transport to host cell nucleus	viral capsid precursor transport to host cell nucleus
NCBITaxon_227984	SARS coronavirus Tor2	SARS coronavirus Tor2
NCBITaxon_227860	SARS coronavirus Vietnam	SARS coronavirus Vietnam
NCBITaxon_305418	SARS coronavirus C029	SARS coronavirus C029
NCBITaxon_227861	SARS coronavirus Taiwan	SARS coronavirus Taiwan
NCBITaxon_227859	SARS coronavirus	SARS coronavirus
NCBITaxon_388737	SARS coronavirus GDH-BJH01	SARS coronavirus GDH-BJH01
GO_0099009	viral genome circularization	viral genome circularization
GO_0099008	viral entry via permeabilization of inner membrane	viral entry via permeabilization of inner membrane
GO_0046765	viral budding from nuclear membrane	virus budding from nuclear membrane by viral capsid envelopment | virus budding from nuclear membrane | nuclear membrane viral budding
GO_0046762	viral budding from ER membrane	virus budding from ER membrane | ER membrane viral budding | virus budding from ER membrane by viral capsid envelopment | endoplasmic reticulum membrane viral budding
GO_0046761	viral budding from plasma membrane	plasma membrane viral budding | virus budding from plasma membrane | virus budding from plasma membrane by viral capsid envelopment
GO_0046760	viral budding from Golgi membrane	Golgi membrane viral budding | virus budding from Golgi membrane
NCBITaxon_1503299	BtRf-BetaCoV/JL2012	BtRf-BetaCoV/JL2012
NCBITaxon_1503296	BtRf-BetaCoV/HeB2013	BtRf-BetaCoV/HeB2013
GO_0046778	modification by virus of host mRNA processing	viral perturbation of host mRNA processing
GO_0046776	suppression by virus of host antigen processing and presentation of peptide antigen via MHC class I	suppression by virus of host MHC class I cell surface presentation | negative regulation by virus of MHC class I cell surface presentation | inhibition of host MHC class I molecule presentation by virus | suppression by virus of MHC class I cell surface presentation in host
GO_0046775	suppression by virus of host cytokine production	negative regulation by virus of host cytokine production
NCBITaxon_260743	SARS coronavirus NS-1	SARS coronavirus NS-1
GO_0046774	suppression by virus of host intracellular interferon activity	negative regulation by virus of intracellular interferon activity | suppression by virus of intracellular interferon activity in host
GO_0046773	suppression by virus of host translation termination	viral inhibition of host cell protein biosynthesis shutoff | viral inhibition of termination of host cell protein biosynthesis | viral suppression of termination by host of host cell protein biosynthesis | viral inhibition of host cell protein biosynthetic process shutoff | viral inhibition of termination of host cell protein biosynthetic process | negative regulation by virus of host cell protein biosynthesis shutoff | negative regulation by virus of host cell protein biosynthetic process shutoff | viral suppression of termination by host of host cell protein biosynthetic process
GO_0046772	viral budding from outer nuclear membrane	virus budding from outer nuclear membrane by viral capsid envelopment
GO_0046771	viral budding from inner nuclear membrane	virus budding from inner nuclear membrane by viral capsid envelopment
NCBITaxon_267386	SARS coronavirus Sin3765V	SARS coronavirus Sin3765V
NCBITaxon_267385	SARS coronavirus Sin3408	SARS coronavirus Sin3408
NCBITaxon_267384	SARS coronavirus Sin852	SARS coronavirus Sin852
NCBITaxon_267383	SARS coronavirus Sin842	SARS coronavirus Sin842
GO_0030683	evasion or tolerance by virus of host immune response	negative regulation by virus of extracellular antiviral response | suppression by virus of host intracellular antiviral response | suppression of host extracellular antiviral response by virus | suppression of host intracellular antiviral response by virus | negative regulation of host extracellular antiviral response by virus | suppression by virus of host extracellular antiviral response | viral inhibition of intracellular antiviral response | negative regulation by virus of intracellular antiviral response | inhibition of extracellular antiviral response | negative regulation of host intracellular antiviral response by virus
NCBITaxon_235414	SARS coronavirus Sin2500	SARS coronavirus Sin2500
NCBITaxon_235413	SARS coronavirus Sin2677	SARS coronavirus Sin2677
NCBITaxon_235412	SARS coronavirus Sin2679	SARS coronavirus Sin2679
NCBITaxon_235411	SARS coronavirus Sin2748	SARS coronavirus Sin2748
NCBITaxon_235410	SARS coronavirus Sin2774	SARS coronavirus Sin2774
GO_0016032	viral process	virus process
GO_0046780	suppression by virus of host mRNA splicing	suppression by virus of host splicing factor activity | viral dispersion of host splicing factors | viral inhibition of host mRNA splicing | negative regulation by virus of host mRNA splicing
GO_0046787	viral DNA repair	viral DNA repair
GO_0098061	viral capsid, internal space	internal head protein
GO_0046786	viral replication complex formation and maintenance	viral replication complex formation and maintenance
GO_0046783	modification by virus of host polysomes	viral perturbation of polysomes
GO_0044009	viral transmission by vector	viral transmission by vector
GO_0046792	suppression by virus of host cell cycle arrest	viral inhibition of cell cycle arrest | negative regulation by virus of cell cycle arrest
GO_0099045	viral extrusion	viral extrusion
GO_0046799	recruitment of helicase-primase complex to DNA lesions	recruitment of helicase-primase complex to DNA lesions
NCBITaxon_266147	SARS coronavirus Sin0409	SARS coronavirus Sin0409
GO_0046798	viral portal complex	viral portal complex
GO_0046797	viral procapsid maturation	capsid maturation | viral capsid maturation
NCBITaxon_266148	SARS coronavirus Sin_WNV	SARS coronavirus Sin_WNV
GO_0046794	transport of virus	viral transport
GO_0046793	induction by virus of phosphorylation of host RNA polymerase II	virus-induced modification of host RNA polymerase II
GO_0039599	cleavage by virus of host mRNA	host mRNA cleavage by viral endoribonuclease
GO_0039593	suppression by virus of host exit from mitosis	inhibition of host mitotic exit by virus
GO_0039594	endoribonuclease activity involved in viral induction of host mRNA catabolic process	endoribonuclease activity involved in viral induction of host mRNA catabolic process
GO_0039591	suppression by virus of host tapasin activity	suppression by virus of host TAP binding protein | inhibition of host TAPBP by virus | inhibition of host tapasin by virus
GO_0039592	suppression by virus of G2/M transition of host mitotic cell cycle	host G2/M cell cycle arrest by virus
GO_0039597	induction by virus of host endoribonuclease activity	viral induction of host RNAse activity
GO_0039595	induction by virus of catabolism of host mRNA	virus-mediated mRNA decay | promotion of host mRNA degradation | induction of host mRNA decay | induction by virus of host mRNA catabolic process | viral induction of host mRNA decay
GO_0039596	modulation by virus of host protein dephosphorylation	modulation by virus of host protein dephosphorylation
NCBITaxon_698419	SARS coronavirus wtic-MB	SARS coronavirus wtic-MB
GO_0019064	fusion of virus membrane with host plasma membrane	viral envelope fusion with host cell membrane | viral envelope fusion with host membrane | viral envelope fusion with host plasma membrane
GO_0019061	uncoating of virus	viral uncoating
NCBITaxon_258971	SARS coronavirus TW8	SARS coronavirus TW8
GO_0019062	virion attachment to host cell	viral absorption
NCBITaxon_258970	SARS coronavirus TW7	SARS coronavirus TW7
GO_0044828	negative regulation by host of viral genome replication	negative regulation by host of viral genome replication
NCBITaxon_241183	SARS coronavirus BJ2232	SARS coronavirus BJ2232
GO_0044825	retroviral strand transfer activity	strand transfer reaction
NCBITaxon_338605	Bat SARS coronavirus HKU3-2	Bat SARS coronavirus HKU3-2
GO_0044826	viral genome integration into host DNA	viral genome integration
NCBITaxon_338606	Bat SARS coronavirus HKU3-3	Bat SARS coronavirus HKU3-3
GO_0044823	retroviral integrase activity	retroviral integrase activity
GO_0044824	retroviral 3' processing activity	3' processing reaction | 3'-processing activity
NCBITaxon_258969	SARS coronavirus TW6	SARS coronavirus TW6
NCBITaxon_258966	SARS coronavirus TW3	SARS coronavirus TW3
NCBITaxon_258965	SARS coronavirus TW2	SARS coronavirus TW2
GO_0019058	viral life cycle	viral life cycle
NCBITaxon_258968	SARS coronavirus TW5	SARS coronavirus TW5
NCBITaxon_258967	SARS coronavirus TW4	SARS coronavirus TW4
GO_0019056	modulation by virus of host transcription	viral perturbation of host cell transcription | modification by virus of host transcription
GO_0019057	modulation by virus of host translation	regulation of host mRNA translation by virus | viral perturbation of host cell mRNA translation | modulation of host translation by virus | modification by virus of host cell mRNA translation | regulation of translation in host by virus | regulation of host translation by virus
NCBITaxon_258964	SARS coronavirus TW11	SARS coronavirus TW11
GO_0019054	modulation by virus of host process	regulation of cellular process in host by virus | regulation of host cellular process by virus | viral host cell process manipulation | regulation by virus of host cellular process | modification by virus of host cellular process
NCBITaxon_258963	SARS coronavirus TW10	SARS coronavirus TW10
GO_0019055	modification by virus of host cell cycle regulation	viral perturbation of cell cycle regulation
GO_0098689	latency-replication decision	reactivation of latent virus | proviral induction | proviral switch | lytic switch | Latency-replication switch
GO_0019074	viral RNA genome packaging	viral RNA genome packaging
GO_0019075	virus maturation	viral maturation
GO_0019072	viral genome packaging	viral genome packaging
GO_0019073	viral DNA genome packaging	viral DNA genome packaging
GO_0019070	viral genome maturation	viral genome maturation
GO_0019071	viral DNA cleavage involved in viral genome maturation	viral DNA cleavage involved in viral genome maturation
GO_0044831	modulation by virus of host cytokine production	modulation by virus of host cytokine production
GO_0044832	positive regulation by virus of host cytokine production	positive regulation by virus of host cytokine production
GO_0044833	modulation by virus of host protein transport	modulation by virus of host protein transport
GO_0019069	viral capsid assembly	viral capsid assembly
NCBITaxon_421444	SARS coronavirus TJ01	SARS coronavirus TJ01
GO_0019068	virion assembly	virion assembly and maintenance | virion organization | viral particle assembly | virus assembly | viral assembly | virus particle assembly
GO_0019065	receptor-mediated endocytosis of virus by host cell	receptor-mediated endocytosis of virus by host | viral receptor mediated endocytosis | receptor mediated endocytosis of virus particle by host | virus receptor-mediated endocytosis by host | receptor mediated endocytosis of virus by host | receptor mediated endocytosis by host of virus particle
GO_0019042	viral latency	phage lysogeny | viral dormancy | latent virus infection
NCBITaxon_742000	Bat SARS coronavirus HKU3-13	Bat SARS coronavirus HKU3-13
NCBITaxon_265124	SARS coronavirus cw037	SARS coronavirus cw037
NCBITaxon_742001	Bat SARS coronavirus HKU3-4	Bat SARS coronavirus HKU3-4
NCBITaxon_281976	SARS coronavirus GZ0401	SARS coronavirus GZ0401
NCBITaxon_742002	Bat SARS coronavirus HKU3-5	Bat SARS coronavirus HKU3-5
NCBITaxon_742003	Bat SARS coronavirus HKU3-6	Bat SARS coronavirus HKU3-6
NCBITaxon_265125	SARS coronavirus xw002	SARS coronavirus xw002
NCBITaxon_304858	SARS coronavirus A022	SARS coronavirus A022
NCBITaxon_627440	SARS coronavirus ExoN1	SARS coronavirus ExoN1
NCBITaxon_258508	SARS coronavirus ShanghaiQXC2	SARS coronavirus ShanghaiQXC2
NCBITaxon_258507	SARS coronavirus ShanghaiQXC1	SARS coronavirus ShanghaiQXC1
GO_0019038	provirus	provirus
GO_0098669	superinfection exclusion	superinfection exclusion
NCBITaxon_627442	SARS coronavirus P2	SARS coronavirus P2
NCBITaxon_442736	Bat SARS coronavirus HKU3	Bat SARS coronavirus HKU3
GO_0019033	viral tegument	viral tegument
IDO_0000519	incubation period	viral incubation | incubation time | incubation
NCBITaxon_347536	Bat SARS CoV Rm1/2004	Bat SARS CoV Rm1/2004
GO_0098676	modulation of host virulence by virus	modulation of host virulence by virus
GO_0098673	inhibition of host DNA replication by virus	inhibition of host DNA replication by virus
GO_0019050	suppression by virus of host apoptotic process	suppression of apoptosis in host by virus | negative regulation by virus of host apoptosis | suppression by virus of host apoptosis | negative regulation of apoptosis by virus
GO_0019051	induction by virus of host apoptotic process	activation of apoptosis in host by virus | activation by virus of host apoptosis | induction of apoptosis in host by virus | induction by virus of host apoptotic programmed cell death | activation by virus of host apoptotic programmed cell death
GO_0098671	adhesion receptor-mediated virion attachment to host cell	viral attachment to host adhesion receptor
GO_0098672	evasion by virus of CRISPR-cas system	CRISPR-cas system evasion by virus
GO_0098670	entry receptor-mediated virion attachment to host cell	viral attachment to host entry receptor
NCBITaxon_347537	Bat SARS CoV Rf1/2004	Bat SARS CoV Rf1/2004
NCBITaxon_333387	Bat SARS coronavirus HKU3-1	Bat SARS coronavirus HKU3-1
GO_0019049	evasion or tolerance of host defenses by virus	evasion or tolerance of host defenses by virus
IDO_0000520	communicability period	communicability period
GO_0019048	modulation by virus of host morphology or physiology	virus-host process | host-virus interaction | modulation by virus of host anatomical structure or process | viral-host process | modulation by virus of host anatomy or process | viral interaction with host
GO_0019045	latent virus replication	latent virus replication
NCBITaxon_258972	SARS coronavirus TW9	SARS coronavirus TW9
GO_0019046	release from viral latency	release from viral latency
GO_0019043	establishment of viral latency	lysogenic commitment
GO_0098677	virion maturation	viral particle maturation
GO_0019044	maintenance of viral latency	latent virus maintenance | prophage maintenance | provirus maintenance
GO_0098678	viral tropism switching	viral tropism switching
GO_0098004	virus tail fiber assembly	virus tail fiber assembly
GO_0098005	viral head-tail joining	virus head-tail joining
GO_0019020	multipartite viral genome	multipartite viral genome
NCBITaxon_293936	SARS coronavirus PC4-227	SARS coronavirus PC4-227
NCBITaxon_389166	Bat CoV 273/2005	Bat CoV 273/2005
GO_0098002	receptor-mediated bacteriophage irreversible attachment to host cell	irreversible bacteriophage attachment, binding of host cell surface receptor
GO_0098003	viral tail assembly	virus tail assembly
NCBITaxon_389167	Bat CoV 279/2005	Bat CoV 279/2005
NCBITaxon_293935	SARS coronavirus PC4-136	SARS coronavirus PC4-136
GO_0098001	receptor-mediated bacteriophage reversible attachment to host cell	reversible bacteriophage attachment, binding of host cell surface receptor
GO_0032359	provirus excision	prophage excision
GO_0044863	modulation by virus of host cell division	regulation by virus of host cell division
NCBITaxon_264374	SARS coronavirus TW-HP4	SARS coronavirus TW-HP4
NCBITaxon_264373	SARS coronavirus TW-HP3	SARS coronavirus TW-HP3
GO_0044864	positive regulation by virus of host cell division	positive regulation by virus of host cell division
NCBITaxon_264376	SARS coronavirus TW-KC1	SARS coronavirus TW-KC1
NCBITaxon_264375	SARS coronavirus TW-JC2	SARS coronavirus TW-JC2
NCBITaxon_264378	SARS coronavirus TW-GD1	SARS coronavirus TW-GD1
NCBITaxon_264377	SARS coronavirus TW-KC3	SARS coronavirus TW-KC3
NCBITaxon_264379	SARS coronavirus TW-GD2	SARS coronavirus TW-GD2
GO_0046807	viral scaffold assembly and maintenance	viral scaffold assembly and maintenance
NCBITaxon_1508227	Bat SARS-like coronavirus	Bat SARS-like coronavirus
GO_0046806	viral scaffold	viral scaffold
NCBITaxon_264381	SARS coronavirus TW-GD4	SARS coronavirus TW-GD4
NCBITaxon_264380	SARS coronavirus TW-GD3	SARS coronavirus TW-GD3
GO_0046802	exit of virus from host cell nucleus by nuclear egress	nuclear egress | nuclear egress of viral procapsid | capsid egress
NCBITaxon_264383	SARS coronavirus TW-YM1	SARS coronavirus TW-YM1
GO_0044865	negative regulation by virus of host cell division	negative regulation by virus of host cell division
GO_0019018	bipartite viral genome	bipartite viral genome
IDO_0000593	transmission period	transmission period
NCBITaxon_264382	SARS coronavirus TW-GD5	SARS coronavirus TW-GD5
GO_0019019	tripartite viral genome	tripartite viral genome
GO_0019016	non-segmented viral genome	non-segmented viral genome
GO_0019017	segmented viral genome	segmented viral genome
GO_0001618	virus receptor activity	viral receptor activity
GO_0019015	viral genome	viral genome
NCBITaxon_293934	SARS coronavirus PC4-13	SARS coronavirus PC4-13
NCBITaxon_230471	SARS coronavirus ZJ01	SARS coronavirus ZJ01
GO_0019013	viral nucleocapsid	nucleocapsid
NCBITaxon_293933	SARS coronavirus GZ0402	SARS coronavirus GZ0402
GO_0098006	viral DNA genome packaging, headful	viral DNA genome packaging, headful
GO_0098015	virus tail	virus tail
GO_0019030	icosahedral viral capsid	quasispherical viral capsid
GO_0019031	viral envelope	viral outside membrane
NCBITaxon_264385	SARS coronavirus TW-YM3	SARS coronavirus TW-YM3
NCBITaxon_264384	SARS coronavirus TW-YM2	SARS coronavirus TW-YM2
NCBITaxon_240273	SARS coronavirus ZMY 1	SARS coronavirus ZMY 1
NCBITaxon_264387	SARS coronavirus TW-PH1	SARS coronavirus TW-PH1
NCBITaxon_264386	SARS coronavirus TW-YM4	SARS coronavirus TW-YM4
NCBITaxon_264388	SARS coronavirus TW-PH2	SARS coronavirus TW-PH2
NCBITaxon_391355	SARS coronavirus Frankfurt1-v01	SARS coronavirus Frankfurt1-v01
GO_0046815	genome retention in viral capsid	genome retention in viral capsid
NCBITaxon_742004	Bat SARS coronavirus HKU3-7	Bat SARS coronavirus HKU3-7
GO_0046814	coreceptor-mediated virion attachment to host cell	virion attachment, binding of host cell surface coreceptor
NCBITaxon_742005	Bat SARS coronavirus HKU3-8	Bat SARS coronavirus HKU3-8
GO_0046813	receptor-mediated virion attachment to host cell	virion attachment, binding of host cell surface receptor
NCBITaxon_742006	Bat SARS coronavirus HKU3-9	Bat SARS coronavirus HKU3-9
GO_0019029	helical viral capsid	helical viral capsid
GO_0019027	ambisense viral genome	ambisense viral genome
GO_0019028	viral capsid	viral capsid
GO_0019025	positive sense viral genome	positive sense viral genome
GO_0019026	negative sense viral genome	negative sense viral genome
GO_0019023	dsRNA viral genome	dsRNA viral genome
GO_0019024	ssRNA viral genome	ssRNA viral genome
NCBITaxon_233872	SARS coronavirus TWC	SARS coronavirus TWC
GO_0019021	DNA viral genome	DNA viral genome
GO_0098017	viral capsid, major subunit	major capsomere
GO_0098018	viral capsid, minor subunit	minor capsomere
GO_0019022	RNA viral genome	RNA viral genome
NCBITaxon_1487703	Rhinolophus affinis coronavirus	Rhinolophus affinis coronavirus
NCBITaxon_299335	SARS coronavirus B039	SARS coronavirus B039
NCBITaxon_722424	SARS coronavirus Rs_672/2006	SARS coronavirus Rs_672/2006
NCBITaxon_291613	SARS coronavirus GD322	SARS coronavirus GD322
GO_0110087	suppression by virus of host protease activator activity	suppression by virus of host protease activator activity
NCBITaxon_694009	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome-related coronavirus
GO_0046718	viral entry into host cell	phage translocation | virus entry into host cell | entry of virus into host cell | virion penetration | viral penetration | virion penetration into host cell
NCBITaxon_264370	SARS coronavirus TW	SARS coronavirus TW
NCBITaxon_312027	SARS coronavirus WH20	SARS coronavirus WH20
GO_0044659	cytolysis by virus of host cell	viral release by cell lysis | lytic viral release | viral release by host cell lysis
NCBITaxon_264372	SARS coronavirus TW-HP2	SARS coronavirus TW-HP2
